;CATEGORY
UID_NO;False
GSDB_NO;True
MANUFACTURER;False
ENGINE_IDENTIFICATION;False
COMBUSTOR_DESCRIPTION;False
ENG_TYPE;False
B_P_RATIO;True
PRESSURE_RATIO;True
RATED_THRUST_KN_;True
DATA_STATUS;False
DATA_SUPERSEDED;False
SUPERSEDED_BY_UID_NO;False
TEST_ENGINE_STATUS;False
DATA_CORR_AS_ANNEX_16;False
CURRENT_ENGINE_STATUS;False
CURRENT_ENGINE_STATUS_DATE;False
HC_EI_T_O_G_KG_;True
HC_EI_C_O_G_KG_;True
HC_EI_APP_G_KG_;True
HC_EI_IDLE_G_KG_;True
HC_NUMBER_TEST;True
HC_NUMBER_ENG;True
HC_DP_FOO_AVG_G_KN_;True
HC_DP_FOO_SIGMA_G_KN_;True
HC_DP_FOO_MIN_G_KN_;True
HC_DP_FOO_MAX_G_KN_;True
HC_DP_FOO_CHARACTERISTIC_G_KN_;True
HC_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;True
HC_LTO_TOTAL_MASS_G_;True
CO_EI_T_O_G_KG_;True
CO_EI_C_O_G_KG_;True
CO_EI_APP_G_KG_;True
CO_EI_IDLE_G_KG_;True
CO_NUMBER_TEST;True
CO_NUMBER_ENG;True
CO_DP_FOO_AVG_G_KN_;True
CO_DP_FOO_SIGMA_G_KN_;True
CO_DP_FOO_MIN_G_KN_;True
CO_DP_FOO_MAX_G_KN_;True
CO_DP_FOO_CHARACTERISTIC_G_KN_;True
CO_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;True
CO_LTO_TOTAL_MASS_G_;True
NOX_EI_T_O_G_KG_;True
NOX_EI_C_O_G_KG_;True
NOX_EI_APP_G_KG_;True
NOX_EI_IDLE_G_KG_;True
NOX_NUMBER_TEST;True
NOX_NUMBER_ENG;True
NOX_DP_FOO_AVG_G_KN_;True
NOX_DP_FOO_SIGMA_G_KN_;True
NOX_DP_FOO_MIN_G_KN_;True
NOX_DP_FOO_MAX_G_KN_;True
NOX_DP_FOO_CHARACTERISTIC_G_KN_;True
NOX_DP_FOO_CHARACTERISTIC_OF_ORIGINAL_STANDARD_;True
NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_2_STANDARD_;True
NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_4_STANDARD_;True
NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_6_STANDARD_;True
NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_8_STANDARD_;True
NOX_COMPLIANCE_DEMONSTRATION_;False
NOX_LTO_TOTAL_MASS_G_;True
SN_T_O;True
SN_C_O;True
SN_APP;True
SN_IDLE;True
SN_NUMBER_TEST;True
SN_NUMBER_ENG;True
SN_MAX;True
SN_SIGMA;True
SN_RANGE_MIN;True
SN_RANGE_MAX;True
SN_CHARACTERISTIC;True
SN_CHARACTERISTIC_OF_REG_LIMIT_;True
FUEL_SPEC;False
FUEL_H_C_RATIO_MIN;True
FUEL_H_C_RATIO_MAX;True
FUEL_AROM_MIN_;True
FUEL_AROM_MAX_;True
FUEL_FLOW_T_O_KG_SEC_;True
FUEL_FLOW_C_O_KG_SEC_;True
FUEL_FLOW_APP_KG_SEC_;True
FUEL_FLOW_IDLE_KG_SEC_;True
FUEL_LTO_CYCLE_KG_;True
LOADS_POWER_EXTRACTION_KW_;True
LOADS_POWER_EXTRACTION_POWER;False
LOADS_STAGE_BLEED_CF_;False
LOADS_STAGE_BLEED_POWER;False
AMBIENT_BARO_MIN_KPA_;True
AMBIENT_BARO_MAX_KPA_;True
AMBIENT_TEMP_MIN_K_;True
AMBIENT_TEMP_MAX_K_;True
HUMIDITY_MIN_KG_KG_;True
HUMIDITY_MAX_KG_KG_;True
TEST_ORGANISATION;False
TEST_LOCATION;False
INITIAL_TEST_DATE;True
FINAL_TEST_DATE;True
COMPLIANCE_WITH_FUEL_VENTING_REQUIREMENTS;False
REMARK_1;False
REMARK_2;False
REMARK_3;False
REMARK_4;False
REMARK_5;False
REMARK_6;False
REMARK_7;False
REMARK_8;True
